utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
02:58:17,49.8,6.83,dwm#1,7.24,CefSharp.BrowserSubprocess#6,0.22,WmiPrvSE#1,0.22
02:58:28,36,1.99,dwm#1,8.08,L-Connect-Service,0.65,WmiPrvSE#1,0.32
02:58:39,36.8,2.94,dwm#1,8.08,WmiPrvSE#1,0.26,sunshine,0.17
02:58:49,40,3.78,dwm#1,7.82,WmiPrvSE#1,0.3,vmmemWSL,0.17
02:59:00,36,0.46,dwm#1,8.05,L-Connect-Service,0.55,claude#2,0.36
02:59:11,46.1,1.26,dwm#1,8.13,vmmemWSL,2,steamwebhelper#5,0.32
02:59:21,30.2,0.32,dwm#1,7.89,WmiPrvSE#1,0.23,L-Connect-Service,0.14
02:59:32,29.1,0.23,dwm#1,7.91,L-Connect-Service,0.42,WmiPrvSE#1,0.28
02:59:42,26.6,0.13,dwm#1,8.12,WmiPrvSE#1,0.23,vmmemWSL,0.18
02:59:53,32.8,0.63,dwm#1,7.99,L-Connect-Service,0.67,WmiPrvSE#1,0.22
03:00:04,28.7,0.5,dwm#1,7.85,WmiPrvSE#1,0.27,sunshine,0.04
03:00:14,29.5,0.65,dwm#1,8.24,L-Connect-Service,0.32,svchost#76,0.23
03:00:25,40.5,0.46,dwm#1,8.26,nvcontainer#3,1.02,vmmemWSL,0.32
03:00:35,28.1,0.26,dwm#1,7.96,WmiPrvSE#1,0.26,System,0.17
03:00:46,32.1,0.37,dwm#1,8.24,nvcontainer#3,0.6,L-Connect-Service,0.56
03:00:57,31.8,0.18,dwm#1,7.87,svchost#76,0.28,WmiPrvSE#1,0.23
03:01:07,41.7,1.89,dwm#1,8.14,L-Connect-Service,0.64,claude,0.37
03:01:18,33,1.03,dwm#1,7.94,svchost#76,0.27,WmiPrvSE#1,0.22
03:01:28,40.6,3.4,dwm#1,7.98,bash#18,0.22,WmiPrvSE#1,0.22
03:01:39,30.3,1.53,dwm#1,8.2,L-Connect-Service,0.4,WmiPrvSE#1,0.27
03:01:50,29.5,0.37,dwm#1,8.31,WmiPrvSE#1,0.23,herdr#2,0.09
03:02:00,34.2,1.27,dwm#1,8.16,L-Connect-Service,0.45,WmiPrvSE#1,0.31
