utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
03:31:54,39,1.11,dwm#1,8.15,vmmemWSL,1.52,L-Connect-Service,0.46
03:32:04,30.7,1.03,dwm#1,7.87,WmiPrvSE#1,0.18,WmiPrvSE,0.09
03:32:15,55.9,4.43,dwm#1,7.75,vmmemWSL,2.94,L-Connect-Service,0.65
03:32:26,34.2,1.84,dwm#1,8.16,Docker Desktop#4,1.03,WmiPrvSE#1,0.27
03:32:36,83.1,17.07,dwm#1,7.74,WmiPrvSE#1,0.3,WmiPrvSE,0.13
03:32:47,71.5,12.22,dwm#1,7.83,L-Connect-Service,0.76,vmmemWSL,0.44
03:32:58,33.8,0.41,dwm#1,8.16,WmiPrvSE,0.27,EpicGamesLauncher,0.22
03:33:08,30.9,0.23,dwm#1,8.13,L-Connect-Service,0.32,svchost#76,0.28
03:33:19,30.4,0.18,dwm#1,7.78,claude#3,0.37,WmiPrvSE#1,0.23
03:33:29,30.2,0.04,dwm#1,7.91,WmiPrvSE#1,0.23,WmiPrvSE,0.23
03:33:40,29.2,0.14,dwm#1,8.32,claude,0.38,WmiPrvSE#1,0.23
03:33:50,30.8,0.87,dwm#1,8.07,MsMpEng,0.45,WmiPrvSE#1,0.22
03:34:01,33.2,0.61,dwm#1,7.89,L-Connect-Service,0.61,EpicGamesLauncher,0.28
03:34:11,32.5,0.23,dwm#1,7.94,vmmemWSL,0.61,System,0.23
03:34:22,38.1,0.28,dwm#1,7.96,vmmemWSL,1.46,L-Connect-Service,0.66
03:34:33,26.7,0.28,dwm#1,8.01,WmiPrvSE#1,0.19,claude#2,0.04
03:34:43,30.4,0.36,dwm#1,8.04,vmmemWSL,0.45,L-Connect-Service,0.36
03:34:54,29.4,0.33,dwm#1,8.02,WmiPrvSE#1,0.23,com.docker.backend#1,0.14
03:35:04,27.7,0.36,dwm#1,8.07,WmiPrvSE#1,0.22,L-Connect-Service,0.22
03:35:15,31.5,0.79,dwm#1,7.8,Docker Desktop#1,0.28,WmiPrvSE#1,0.23
03:35:25,34.4,0.74,dwm#1,8.1,Docker Desktop#4,0.46,vmmemWSL,0.32
03:35:36,30.2,0.82,dwm#1,8.07,L-Connect-Service,0.41,vmmemWSL,0.22
03:35:47,35.1,2.45,dwm#1,7.88,WmiPrvSE#1,0.23,vmmemWSL,0.14
03:35:57,31.8,1.19,dwm#1,8.14,L-Connect-Service,0.54,WmiPrvSE#1,0.22
03:36:08,31,1.28,dwm#1,8.09,vmmemWSL,0.41,WmiPrvSE#1,0.22
03:36:18,41.5,4.04,dwm#1,7.95,WmiPrvSE#1,0.27,L-Connect-Service,0.27
03:36:29,34.1,1.23,dwm#1,7.98,WmiPrvSE#1,0.22,L-Connect-Service,0.09
03:36:39,29.8,1.08,dwm#1,7.98,WmiPrvSE#1,0.18,herdr,0.04
03:36:50,38.3,2.71,dwm#1,8.01,vmmemWSL,0.64,L-Connect-Service,0.5
03:37:01,30.4,1,dwm#1,7.89,WmiPrvSE#1,0.27,node#1,0.22
03:37:11,35.3,1.01,dwm#1,7.8,vmmemWSL,0.83,L-Connect-Service,0.55
03:37:22,30.7,1.09,dwm#1,7.97,WmiPrvSE#1,0.22,vmmemWSL,0.18
03:37:32,35.9,1.25,dwm#1,8,vmmemWSL,0.74,WmiPrvSE#1,0.23
03:37:43,32.5,1.18,dwm#1,8.42,L-Connect-Service,0.38,WmiPrvSE#1,0.23
03:37:54,29.7,0,dwm#1,8.1,MsMpEng,0.41,WmiPrvSE#1,0.23
03:38:04,40.9,1.18,dwm#1,7.81,vmmemWSL,2.32,L-Connect-Service,0.56
03:38:15,33.8,1.19,dwm#1,8.09,System,0.36,WmiPrvSE#1,0.23
03:38:25,50.8,4.71,dwm#1,7.75,vmmemWSL,1.58,L-Connect-Service,0.44
03:38:36,31.1,0.85,dwm#1,7.91,Docker Desktop#4,0.49,WmiPrvSE#1,0.26
03:38:46,33.9,0.18,dwm#1,8.15,MsMpEng,0.37,vmmemWSL,0.32
03:38:57,30.6,0.56,dwm#1,7.86,L-Connect-Service,0.23,WmiPrvSE#1,0.18
03:39:08,27.7,0.04,dwm#1,8.05,WmiPrvSE#1,0.22,WmiPrvSE,0.18
03:39:18,29.3,0.04,dwm#1,7.92,L-Connect-Service,0.42,vmmemWSL,0.38
03:39:29,28.4,0.14,dwm#1,7.97,WmiPrvSE#1,0.23,vmmemWSL,0.19
03:39:39,32.2,0.61,dwm#1,8.14,L-Connect-Service,0.52,node#1,0.28
03:39:50,27.2,0.19,dwm#1,8.1,WmiPrvSE#1,0.23,WmiPrvSE,0.14
03:40:00,30.7,0.14,dwm#1,7.91,L-Connect-Service,0.66,vmmemWSL,0.28
03:40:11,29.3,0.5,dwm#1,8.09,vmmemWSL,0.55,WmiPrvSE#1,0.23
03:40:21,29,0.28,dwm#1,8.07,L-Connect-Service,0.43,WmiPrvSE#1,0.24
03:40:32,26,0.41,dwm#1,8.2,WmiPrvSE#1,0.23,MsMpEng,0.04
03:40:42,40.8,0.37,dwm#1,8.1,vmmemWSL,2.73,com.docker.backend#1,0.32
03:40:53,30.7,1.15,dwm#1,8.25,WmiPrvSE#1,0.28,svchost#29,0.19
03:41:04,28.6,0.78,dwm#1,8.17,WmiPrvSE#1,0.23,vmmemWSL,0.18
03:41:14,35.6,0.88,dwm#1,7.87,vmmemWSL,1.76,L-Connect-Service,0.32
03:41:25,34.3,1.74,dwm#1,8.26,WmiPrvSE#1,0.23,docker,0.18
03:41:35,39.6,1.16,dwm#1,8.17,vmmemWSL,1.44,L-Connect-Service,0.74
