utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
12:45:06,31.3,1.05,dwm#1,7.74,WmiPrvSE#1,0.36,L-Connect-Service,0.32
12:45:17,32.2,1.25,dwm#1,7.82,WmiPrvSE#1,0.31,vmmemWSL,0.11
12:45:27,45.5,0,dwm#1,8.04,claude#2,1.21,MsMpEng,0.96
12:45:38,33.2,1.08,dwm#1,7.97,L-Connect-Service,0.48,WmiPrvSE#1,0.36
12:45:49,43,1.88,dwm#1,8.12,MsMpEng,0.5,slack#4,0.42
12:46:00,50.9,8.52,dwm#1,6.91,WmiPrvSE#1,0.42,slack#4,0.34
12:46:11,36,0.75,dwm#1,8.16,slack#4,0.39,WmiPrvSE#1,0.39
12:46:21,30.4,0.11,dwm#1,8.18,L-Connect-Service,0.47,WmiPrvSE#1,0.35
12:46:32,28.6,0.28,dwm#1,8.01,L-Connect-Service,0.36,WmiPrvSE#1,0.28
12:46:43,35,0.15,dwm#1,8.22,vmmemWSL,1.41,WmiPrvSE#1,0.31
12:46:53,38,0.43,dwm#1,8.18,vmmemWSL,1.54,WmiPrvSE#1,0.35
12:47:04,39.1,0.18,dwm#1,8,slack#4,1.4,L-Connect-Service,0.62
12:47:15,37.9,0.46,dwm#1,7.97,vmmemWSL,0.96,Docker Desktop#4,0.42
12:47:26,31.8,0.27,dwm#1,7.92,vmmemWSL,0.59,WmiPrvSE#1,0.35
12:47:36,30,0.35,dwm#1,7.85,WmiPrvSE#1,0.35,L-Connect-Service,0.31
12:47:47,33,0.32,dwm#1,7.98,L-Connect-Service,0.56,WmiPrvSE#1,0.32
12:47:58,31.1,0.35,dwm#1,7.9,vmmemWSL,0.42,WmiPrvSE#1,0.31
12:48:09,30.7,0.43,dwm#1,7.85,claude#15,0.31,WmiPrvSE#1,0.31
12:48:19,37.6,0.34,dwm#1,7.73,com.docker.backend#1,1.04,L-Connect-Service,0.58
12:48:30,33.2,0.7,dwm#1,7.84,WmiPrvSE#1,0.39,L-Connect-Service,0.31
12:48:41,29.3,0.63,dwm#1,7.95,WmiPrvSE#1,0.31,vmmemWSL,0.15
12:48:51,36.4,0.99,dwm#1,8.11,WmiPrvSE#1,0.35,EpicGamesLauncher,0.31
12:49:02,31.6,0.7,dwm#1,8.02,L-Connect-Service,0.54,WmiPrvSE#1,0.35
12:49:13,41.8,1.15,dwm#1,7.98,vmmemWSL,1.07,L-Connect-Service,0.49
12:49:24,38.4,1.16,dwm#1,8.09,vmmemWSL,2.13,WmiPrvSE#1,0.38
12:49:34,31.8,1.32,dwm#1,8.04,WmiPrvSE#1,0.35,L-Connect-Service,0.31
12:49:45,34.2,1.11,dwm#1,7.93,L-Connect-Service,0.76,WmiPrvSE#1,0.38
12:49:56,31.2,1.16,dwm#1,8.05,WmiPrvSE#1,0.36,vmmemWSL,0.08
12:50:07,39.3,1.21,dwm#1,7.82,WmiPrvSE#1,0.35,svchost#76,0.31
12:50:17,33.9,1.28,dwm#1,8.36,WmiPrvSE#1,0.36,L-Connect-Service,0.28
12:50:28,37.4,1.09,dwm#1,8.06,L-Connect-Service,0.58,WmiPrvSE#1,0.39
12:50:39,33.7,1.03,dwm#1,7.92,WmiPrvSE#1,0.39,herdr#2,0.11
12:50:50,34.3,1.18,dwm#1,7.89,vmmemWSL,0.39,WmiPrvSE#1,0.39
12:51:00,40.1,1.31,dwm#1,7.96,WmiPrvSE#1,0.38,System,0.34
12:51:11,48.3,5.18,dwm#1,8.15,L-Connect-Service,0.5,WmiPrvSE#1,0.35
12:51:22,34,1.64,dwm#1,8.04,vmmemWSL,0.85,WmiPrvSE#1,0.35
12:51:33,90.7,18.95,dwm#1,6.68,vmmemWSL,1.21,WmiPrvSE#1,0.36
12:51:44,68.3,11.66,dwm#1,7.59,vmmemWSL,0.81,WmiPrvSE#1,0.37
12:51:55,38.8,0.37,dwm#1,7.82,vmmemWSL,0.86,WmiPrvSE#1,0.37
12:52:05,31.5,0.03,dwm#1,7.83,L-Connect-Service,0.47,WmiPrvSE#1,0.39
12:52:16,33,0.8,dwm#1,7.93,Docker Desktop#4,0.92,WmiPrvSE#1,0.38
12:52:27,32.4,0.27,dwm#1,8.26,WmiPrvSE#1,0.31,vmmemWSL,0.27
12:52:37,29.5,0.11,dwm#1,7.93,L-Connect-Service,0.59,WmiPrvSE#1,0.31
12:52:48,33.8,0.39,dwm#1,8.14,WmiPrvSE#1,0.39,L-Connect-Service,0.23
12:52:59,29.8,0.36,dwm#1,8.14,WmiPrvSE#1,0.36,vmmemWSL,0.32
12:53:10,37.7,0.46,dwm#1,7.79,WmiPrvSE#1,0.35,claude#2,0.31
12:53:20,32.7,0.19,dwm#1,7.96,L-Connect-Service,0.51,WmiPrvSE#1,0.31
12:53:31,33.9,2.12,dwm#1,7.83,WmiPrvSE#1,0.43,L-Connect-Service,0.11
12:53:42,34.9,0.5,dwm#1,7.96,WmiPrvSE#1,0.35,claude#2,0.27
12:53:53,36.6,0.43,dwm#1,7.99,vmmemWSL,1.19,L-Connect-Service,0.55
12:54:03,35,0.79,dwm#1,7.89,vmmemWSL,1.11,L-Connect-Service,0.39
12:54:14,32.1,0.72,dwm#1,8.04,vmmemWSL,0.76,WmiPrvSE#1,0.32
12:54:25,29.8,0.94,dwm#1,8.07,WmiPrvSE#1,0.35,sunshine,0.11
12:54:36,34,0.71,dwm#1,8.16,L-Connect-Service,0.39,WmiPrvSE#1,0.39
12:54:46,33.1,0.74,dwm#1,7.9,WmiPrvSE#1,0.39,L-Connect-Service,0.35
